time,latitude,longitude,depth,mag
2024-09-04T19:09:19.256Z,-10.7702,165.8853,104.511,5.4
2024-09-04T09:40:44.266Z,-7.508,126.491,10.0,5.0
2024-09-03T23:55:46.113Z,14.8504,122.5404,10.0,5.0
2024-09-03T23:16:44.482Z,14.864,122.5951,16.815,5.3
2024-09-02T08:26:25.393Z,23.861,121.669,37.627,5.0
2024-09-01T20:13:34.201Z,-6.8295,155.5297,39.0,6.4
2024-09-01T19:59:25.436Z,3.7986,126.5018,46.933,5.0
2024-09-01T07:38:19.520Z,-5.8799,149.5469,97.103,5.2
2024-09-01T03:42:49.557Z,8.1965,91.7229,10.0,5.2
2024-09-01T00:49:26.519Z,4.8108,125.3428,10.0,5.0
2024-08-31T08:53:48.700Z,-3.4079,139.7218,49.939,5.0
2024-08-30T04:24:22.983Z,53.0016,160.3787,26.0,6.0
2024-08-29T05:56:40.251Z,36.5209,71.2507,221.698,5.2
2024-08-27T13:01:31.899Z,12.5355,123.5062,10.22,5.0
2024-08-27T02:15:18.032Z,-7.1565,129.4461,78.0,5.8
2024-08-26T12:57:40.907Z,-8.7602,110.259,54.841,5.4
2024-08-26T00:17:04.216Z,1.0961,126.4084,35.0,5.3
2024-08-25T15:35:11.241Z,-5.8892,147.1328,115.119,5.0
2024-08-24T16:54:28.897Z,-4.5066,102.0653,11.915,5.0
2024-08-23T05:06:51.283Z,52.7945,161.0424,30.242,5.3
2024-08-22T18:42:27.392Z,-7.6284,125.8773,10.0,5.1
2024-08-22T18:32:08.773Z,-3.6804,151.9429,10.0,5.1
2024-08-22T11:17:10.439Z,-6.991,129.6463,99.201,5.1
2024-08-21T23:38:00.857Z,40.929,83.9936,10.0,5.1
2024-08-21T23:30:34.769Z,52.8825,160.1271,30.0,5.5
2024-08-20T15:10:14.939Z,-11.3383,162.4637,10.0,5.0
2024-08-20T08:24:22.218Z,44.172,147.4677,91.552,5.1
2024-08-20T01:15:55.090Z,34.1613,74.2677,14.076,5.1
2024-08-19T19:42:22.565Z,8.1799,127.0848,10.0,5.0
2024-08-19T03:39:01.072Z,12.7182,124.7335,48.0,5.7
2024-08-17T22:27:08.408Z,52.8622,160.1796,35.0,5.2
2024-08-17T20:52:49.570Z,-6.6591,128.0377,337.956,5.0
2024-08-17T19:40:01.999Z,53.0144,160.0188,57.075,5.1
2024-08-17T19:21:39.065Z,52.8657,160.1627,35.0,5.0
2024-08-17T19:10:26.820Z,52.9308,160.1331,29.0,7.0
2024-08-17T06:32:09.569Z,32.4687,142.3781,10.0,5.2
2024-08-17T02:00:54.987Z,53.5699,158.1563,173.13,5.2
2024-08-15T23:35:53.943Z,23.7491,121.7669,14.0,6.1
2024-08-15T13:13:13.947Z,-6.9993,147.0933,10.0,5.2
2024-08-15T12:13:06.691Z,-5.3315,152.1423,35.0,5.1
2024-08-15T09:06:45.671Z,24.3711,121.9259,11.548,5.4
2024-08-14T17:55:39.603Z,-7.6359,106.0795,19.222,5.0
2024-08-14T16:46:40.633Z,-9.3438,107.7159,8.526,5.0
2024-08-14T09:15:07.892Z,-6.5957,104.3954,39.785,5.0
2024-08-13T11:48:29.491Z,-6.4588,154.1544,10.0,5.1
2024-08-12T11:36:13.742Z,2.3936,126.52,54.11,5.0
2024-08-10T03:28:32.681Z,47.223,144.7915,402.166,6.5
2024-08-09T16:40:37.470Z,-9.1202,120.5383,75.465,5.1
2024-08-09T10:57:39.340Z,35.4116,139.3122,30.275,5.0
2024-08-08T19:23:31.596Z,31.8192,131.3023,18.196,5.3
2024-08-08T12:49:16.076Z,42.0164,139.5219,193.573,5.2
2024-08-08T07:42:55.206Z,31.7599,131.5021,24.0,7.1
2024-08-06T05:39:25.804Z,7.756,127.1076,36.61,5.2
2024-08-05T12:44:01.989Z,-6.5383,103.4144,22.641,5.0
2024-08-04T18:55:40.117Z,3.89,63.3234,10.0,5.0
2024-08-03T04:20:26.565Z,8.2038,126.8354,15.0,6.3
2024-08-03T01:38:21.598Z,8.0161,126.7417,83.676,5.3
2024-08-03T01:37:19.320Z,8.0629,126.7996,53.839,5.2
2024-08-02T22:36:20.415Z,7.9719,126.906,45.789,5.0
2024-08-02T22:31:15.069Z,8.1185,126.7173,76.98,5.3
2024-08-02T22:23:02.111Z,8.1851,126.6161,32.0,6.8
2024-08-02T20:28:00.988Z,12.6019,146.4126,10.0,5.1
2024-08-02T19:07:47.499Z,-8.2589,156.3799,10.0,5.0
2024-07-29T16:25:31.492Z,32.0876,131.4191,66.144,5.2
2024-07-28T14:19:44.090Z,14.806,146.8865,10.0,5.1
2024-07-28T11:20:32.794Z,-6.2708,130.0296,146.713,5.2
2024-07-28T10:13:22.968Z,39.5239,143.6639,10.0,5.3
2024-07-28T04:35:12.576Z,14.7842,108.2285,8.078,5.1
2024-07-25T20:32:17.453Z,-7.3691,128.681,144.012,5.5
2024-07-25T17:11:38.119Z,-6.1464,102.8461,10.0,5.3
2024-07-24T12:42:51.663Z,-6.5121,130.0446,153.351,5.1
2024-07-24T08:09:01.727Z,-10.0576,123.7239,35.0,5.2
2024-07-24T00:22:08.822Z,-2.9716,139.2043,45.484,5.2
2024-07-23T23:55:02.968Z,26.3142,104.7659,10.0,5.2
2024-07-22T14:47:16.975Z,-5.3334,131.1812,63.93,5.0
2024-07-21T04:27:27.767Z,42.7004,145.5767,19.458,5.3
2024-07-20T12:05:04.828Z,0.1,96.4867,10.0,5.1
2024-07-19T14:36:14.348Z,1.5763,127.7664,8.149,5.1
2024-07-19T14:31:30.055Z,1.5195,127.7706,10.0,5.0
2024-07-19T13:36:03.499Z,0.7348,126.0494,21.222,5.0
2024-07-18T15:01:23.345Z,-5.1622,101.0511,10.0,5.3
2024-07-18T11:07:34.561Z,33.578,140.3234,91.0,5.6
2024-07-18T05:39:55.732Z,8.6935,126.6749,50.368,5.1
2024-07-16T23:39:33.444Z,1.2023,126.1216,48.375,5.3
2024-07-16T06:36:43.386Z,29.2907,142.4657,10.0,5.2
2024-07-15T08:15:50.150Z,-4.0072,142.9594,48.526,5.2
2024-07-14T21:33:18.571Z,30.4091,69.3062,10.0,5.0
2024-07-12T23:18:47.583Z,25.0886,128.1823,10.0,5.3
2024-07-12T19:18:12.656Z,-3.7498,151.3518,10.0,5.2
2024-07-12T17:12:49.025Z,-3.8172,151.3842,11.332,5.5
2024-07-12T10:34:00.855Z,1.2947,126.3177,10.0,5.0
2024-07-11T09:27:34.446Z,12.3205,144.1514,10.0,5.4
